,x_11,x_12,x_13,x_21,x_22,x_23,x_31,x_32,x_33,z_0,z_1,tau_10,tau_11,tau_20,tau_21,tau_30,tau_31
x_11,0,11,11,32,0,0,32,0,0,-11,-21,11,21,0,0,0,0
x_12,11,85,11,0,32,0,0,95,0,-32,-63,0,0,32,63,0,0
x_13,11,11,85,0,0,95,0,0,32,-32,-63,0,0,0,0,32,63
x_21,32,0,0,85,11,11,95,0,0,-32,-63,32,63,0,0,0,0
x_22,0,32,0,11,0,11,0,32,0,-11,-21,0,0,11,21,0,0
x_23,0,0,95,11,11,85,0,0,32,-32,-63,0,0,0,0,32,63
x_31,32,0,0,95,0,0,85,11,11,-32,-63,32,63,0,0,0,0
x_32,0,95,0,0,32,0,11,85,11,-32,-63,0,0,32,63,0,0
x_33,0,0,32,0,0,32,11,11,0,-11,-21,0,0,0,0,11,21
z_0,-11,-32,-32,-32,-11,-32,-32,-32,-11,32,63,-11,-21,-11,-21,-11,-21
z_1,-21,-63,-63,-63,-21,-63,-63,-63,-21,63,127,-21,-42,-21,-42,-21,-42
tau_10,11,0,0,32,0,0,32,0,0,-11,-21,11,21,0,0,0,0
tau_11,21,0,0,63,0,0,63,0,0,-21,-42,21,42,0,0,0,0
tau_20,0,32,0,0,11,0,0,32,0,-11,-21,0,0,11,21,0,0
tau_21,0,63,0,0,21,0,0,63,0,-21,-42,0,0,21,42,0,0
tau_30,0,0,32,0,0,32,0,0,11,-11,-21,0,0,0,0,11,21
tau_31,0,0,63,0,0,63,0,0,21,-21,-42,0,0,0,0,21,42
